,ID,Title,Director,Release_Year,Original_Lang,Main_Genre,Genres,Runtime,User_Score,Ratings,Budget,Revenue,URL
0,238,The Godfather,Francis Ford Coppola,1972,English,Drama,['Crime'],175,87.0,16929,6000000,245066411,https://www.themoviedb.org/movie/238-the-godfather
1,278,The Shawshank Redemption,Frank Darabont,1994,English,Drama,['Crime'],142,87.0,22682,25000000,28341469,https://www.themoviedb.org/movie/278-the-shawshank-redemption
2,240,The Godfather Part II,Francis Ford Coppola,1974,English,Drama,['Crime'],202,86.0,10265,13000000,102600000,https://www.themoviedb.org/movie/240-the-godfather-part-ii
3,19404,Dilwale Dulhania Le Jayenge,Aditya Chopra,1995,Hindi,Comedy,"['Drama', 'Romance']",190,86.0,3950,13200000,100000000,https://www.themoviedb.org/movie/19404-dilwale-dulhania-le-jayenge
4,424,Schindler's List,Steven Spielberg,1993,English,Drama,"['History', 'War']",195,86.0,13457,22000000,321365567,https://www.themoviedb.org/movie/424-schindler-s-list
5,129,Spirited Away,Hayao Miyazaki,2001,Japanese,Animation,"['Family', 'Fantasy']",125,85.0,13566,19000000,274925095,https://www.themoviedb.org/movie/129-spirited-away
6,389,12 Angry Men,Reginald Rose,1957,English,Drama,[],97,85.0,6800,350000,1000000,https://www.themoviedb.org/movie/389-12-angry-men
7,372058,Your Name.,Makoto Shinkai,2016,Japanese,Romance,"['Animation', 'Drama']",106,85.0,9234,-,357986087,https://www.themoviedb.org/movie/372058-your-name.
8,496243,Parasite,Bong Joon-ho,2019,Korean,Comedy,"['Thriller', 'Drama']",133,85.0,14723,11363000,257591776,https://www.themoviedb.org/movie/496243-parasite
9,497,The Green Mile,Frank Darabont,1999,English,Fantasy,"['Drama', 'Crime']",189,85.0,14635,60000000,286801374,https://www.themoviedb.org/movie/497-the-green-mile
10,155,The Dark Knight,Christopher Nolan,2008,English,Drama,"['Action', 'Crime', 'Thriller']",152,85.0,28606,185000000,1004558444,https://www.themoviedb.org/movie/155-the-dark-knight
11,724089,Gabriel's Inferno: Part II,Tosca Musk,2020,English,Romance,[],105,85.0,1442,-,-,https://www.themoviedb.org/movie/724089-gabriel-s-inferno:-part-ii
12,696374,Gabriel's Inferno,Tosca Musk,2020,English,Romance,[],122,85.0,2298,-,-,https://www.themoviedb.org/movie/696374-gabriel-s-inferno
13,553512,Burn the Stage: The Movie,Park Jun-soo,2018,Korean,Music,[],85,85.0,371,-,-,https://www.themoviedb.org/movie/553512-burn-the-stage:-the-movie
14,680,Pulp Fiction,Quentin Tarantino,1994,English,Thriller,['Crime'],154,85.0,24081,8000000,214179088,https://www.themoviedb.org/movie/680-pulp-fiction
15,611291,Bring the Soul: The Movie,Park Jun-soo,2019,Korean,Music,['Documentary'],105,85.0,386,-,-,https://www.themoviedb.org/movie/611291-bring-the-soul:-the-movie
16,429,"The Good, the Bad and the Ugly",Sergio Leone,1966,Italian,Western,[],161,85.0,6983,1200000,25253887,"https://www.themoviedb.org/movie/429-the-good,-the-bad-and-the-ugly"
17,13,Forrest Gump,Robert Zemeckis,1994,English,Comedy,"['Drama', 'Romance']",142,85.0,23620,55000000,677387716,https://www.themoviedb.org/movie/13-forrest-gump
18,122,The Lord of the Rings: The Return of the King,Peter Jackson,2003,English,Adventure,"['Fantasy', 'Action']",201,85.0,20561,94000000,1118888979,https://www.themoviedb.org/movie/122-the-lord-of-the-rings:-the-return-of-the-king
19,761053,Gabriel's Inferno: Part III,Tosca Musk,2020,English,Romance,['Comedy'],105,85.0,993,-,-,https://www.themoviedb.org/movie/761053-gabriel-s-inferno:-part-iii
